UTCG,r_x,r_y,r_z,v_x,v_y,v_z,a_x,a_y,a_z,lla_Lat,lla_Lon,lla_Alt,coe_Semi-major_Axis,coe_Eccentricity,coe_Inclination,coe_RAAN,coe_Arg_of_Perigee,coe_True_Anomaly
15 Jul 2026 00:00:00.000000000,-4042.867493721473,3348.8175846833515,4444.031036122534,-6.158729365445444,-2.692868751388793,-3.5735575320133903,0.0049486752073798984,-0.004094386945511655,-0.00544859150794807,40.311094155861205,-152.07682215047794,508.9090146507096,6878.136981626016,3.3350152147559286e-09,53.00000000784764,5.881044988735638e-09,0.0,125.99999999529011
15 Jul 2026 00:01:00.000000000,-4403.221589594852,3179.993395351256,4219.967033775373,-5.848654183744422,-2.9325571497911986,-3.8925211878419885,0.005390784056548429,-0.0038888544382831686,-0.005175039467586003,37.898372212116826,-148.54099733998382,508.03439382225065,6878.926701220961,0.0001159520297631475,53.00246726617974,359.99603078201034,119.39786376304565,10.409469844214367
15 Jul 2026 00:02:00.000000000,-4744.188871479863,2997.1680750805376,3977.271257362733,-5.512735239283691,-3.159400654881024,-4.1943872396164545,0.005809420113113478,-0.0036660882297257637,-0.004878490514973139,35.37050797823282,-145.24923735497484,507.1470927383752,6879.735510063637,0.00023268920598735506,53.00499473097145,359.99247906037556,124.22945690605916,9.385169610872193
15 Jul 2026 00:03:00.000000000,-5064.26208049692,2801.1427897502517,3717.010229481869,-5.152437089840373,-3.372392863196359,-4.477812745603845,0.006202695191385766,-0.00342703786733324,-0.004560212404882856,32.74390235115526,-142.17498654247387,506.2611421034144,6880.549148707203,0.0003485143002825005,53.007537683903045,359.98935117800636,129.0323077148494,8.389561841773054
15 Jul 2026 00:04:00.000000000,-5362.0251704494485,2592.7773351892474,3440.3287071741765,-4.76933460399364,-3.5705866328733493,-4.741533890920466,0.006568823796881428,-0.0031727299292472555,-0.004221575930352639,30.032857578533573,-139.2925411716974,505.3906517404884,6881.353258999538,0.0004617283143731699,53.010051125379356,359.98664599475137,133.8103471312545,7.418709031251174
15 Jul 2026 00:05:00.000000000,-5636.159736239168,2372.986445021682,3148.444751436129,-4.36510651141959,-3.753098603713298,-4.98437203326989,0.006906132871270474,-0.0029042644813424444,-0.003864050169062031,27.249836875957257,-136.57763875019714,504.5495679976825,6882.133637889909,0.0005706559972812493,53.01249056893963,359.9843549113541,138.5672206395642,6.468961758897356
15 Jul 2026 00:06:00.000000000,-5885.451037860215,2142.7358339852058,2842.6444428991886,-3.9415283741094376,-3.9191134882774574,-5.20523944152179,0.007213071326442175,-0.002622810975407597,-0.003489196981974766,24.405727246311873,-134.00772029949803,503.7514321588625,6882.8764893044045,0.0006736743120351998,53.01481282691955,359.9824620193828,143.30631937815812,5.536927548145059
15 Jul 2026 00:07:00.000000000,-6108.793585654862,1903.0379914646098,2524.276263489787,-3.5004649947740165,-4.067888100077523,-5.403144681752957,0.0074882192440781205,-0.002329603577146751,-0.003098664749680418,21.5100875947286,-131.56197963149899,503.00914421552187,6883.568669566088,0.0007692400520927401,53.016976773452456,359.9809443804148,148.0308331751178,4.61941774818853
15 Jul 2026 00:08:00.000000000,-6305.196253725002,1654.947742030833,2194.7451666242405,-3.0438622863497673,-4.1987550846134045,-5.57719760497727,0.007730296609485129,-0.0020259359249077615,-0.002694181348195798,18.571373823328493,-129.22128147080994,502.33473635882905,6884.19792190264,0.0008559161286798024,53.018944071287116,359.9797724296185,152.74380251674134,3.7133954322114877
15 Jul 2026 00:09:00.000000000,-6473.7868900708745,1399.5575918256798,1855.5063612267738,-2.573738634460959,-4.311126319475621,-5.726613891448477,0.007938171446985783,-0.0017131553341112897,-0.0022775463847632626,15.597138457728766,-126.96800397573439,501.7391604628089,6884.753095736905,0.0009323960702753873,53.020679849531575,359.97891049663303,157.44816888312533,2.81592488059426
