,Sat_1_1,Sat_1_2,Sat_1_3,Sat_1_4,Sat_1_5,Sat_1_6,Sat_1_7,Sat_1_8,Sat_1_9,Sat_1_10,Sat_1_11,Sat_1_12,Sat_1_13,Sat_1_14,Sat_1_15,Sat_1_16,Sat_1_17,Sat_1_18,Sat_1_19,Sat_1_20,Sat_2_1,Sat_2_2,Sat_2_3,Sat_2_4,Sat_2_5,Sat_2_6,Sat_2_7,Sat_2_8,Sat_2_9,Sat_2_10,Sat_2_11,Sat_2_12,Sat_2_13,Sat_2_14,Sat_2_15,Sat_2_16,Sat_2_17,Sat_2_18,Sat_2_19,Sat_2_20,Sat_3_1,Sat_3_2,Sat_3_3,Sat_3_4,Sat_3_5,Sat_3_6,Sat_3_7,Sat_3_8,Sat_3_9,Sat_3_10,Sat_3_11,Sat_3_12,Sat_3_13,Sat_3_14,Sat_3_15,Sat_3_16,Sat_3_17,Sat_3_18,Sat_3_19,Sat_3_20
Sat_2_1,0.0024754725937738216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007178163217679425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007178116948113319,0.002475509461476768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat_2_2,0.0,0.0024023589574186078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007178163217679425,0.0,0.007178147029955953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002399979731730223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat_2_3,0.0,0.0,0.0022018663381215436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007178147029955953,0.0,0.007178177987422041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021977125222463643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat_2_4,0.0,0.0,0.0,0.0019265700961603781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007178177987422041,0.0,0.007178143151851443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019217857529085925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat_2_5,0.0,0.0,0.0,0.0,0.0016720025917764392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007178143151851443,0.0,0.007178168330799239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016686126097277235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat_2_6,0.0,0.0,0.0,0.0,0.0,0.001565227900938563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007178168330799239,0.0,0.0071781006168630205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015652617807380535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat_2_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0016753350034082871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071781006168630205,0.0,0.007178185043044851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016788355519997786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat_2_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019313341380432314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007178185043044851,0.0,0.007178116197443424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019360491506962086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat_2_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002205989919523208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007178116197443424,0.0,0.007178190414832575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002210169044380494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat_2_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024047214855919615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007178190414832575,0.0,0.00717813258067151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024070288731084656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sat_2_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002475498076127676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00717813258067151,0.0,0.007178144101607235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002475534086750688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
